1009,11
1013,3
1019,2
1021,10
1031,14
1033,5
1039,3
1049,3
1051,7
1061,2
1063,3
1069,6
1087,3
1091,2
1093,5
1097,3
1103,5
1109,2
1117,2
1123,2
1129,11
1151,17
1153,5
1163,5
1171,2
1181,7
1187,2
1193,3
1201,11
1213,2
1217,3
1223,5
1229,2
1231,3
1237,2
1249,7
1259,2
1277,2
1279,3
1283,2
1289,6
1291,2
1297,10
1301,2
1303,6
1307,2
1319,13
1321,13
1327,3
1361,3
1367,5
1373,2
1381,2
1399,13
1409,3
1423,3
1427,2
1429,6
1433,3
1439,7
1447,3
1451,2
1453,2
1459,3
1471,6
1481,3
1483,2
1487,5
1489,14
1493,2
1499,2
1511,11
1523,2
1531,2
1543,5
1549,2
1553,3
1559,19
1567,3
1571,2
1579,3
1583,5
1597,11
1601,3
1607,5
1609,7
1613,3
1619,2
1621,2
1627,3
1637,2
1657,11
1663,3
1667,2
1669,2
1693,2
1697,3
1699,3
1709,3
1721,3
1723,3
1733,2
1741,2
1747,2
1753,7
1759,6
1777,5
1783,10
1787,2
1789,6
1801,11
1811,6
1823,5
1831,3
1847,5
1861,2
1867,2
1871,14
1873,10
1877,2
1879,6
1889,3
1901,2
1907,2
1913,3
1931,2
1933,5
1949,2
1951,3
1973,2
1979,2
1987,2
1993,5
1997,2
1999,3
2003,5
2011,3
2017,5
2027,2
2029,2
2039,7
2053,2
2063,5
2069,2
2081,3
2083,2
2087,5
2089,7
2099,2
2111,7
2113,5
2129,3
2131,2
2137,10
2141,2
2143,3
2153,3
2161,23
2179,7
2203,5
2207,5
2213,2
2221,2
2237,2
2239,3
2243,2
2251,7
2267,2
2269,2
2273,3
2281,7
2287,19
2293,2
2297,5
2309,2
2311,3
2333,2
2339,2
2341,7
2347,3
2351,13
2357,2
2371,2
2377,5
2381,3
2383,5
2389,2
2393,3
2399,11
2411,6
2417,3
2423,5
2437,2
2441,6
2447,5
2459,2
2467,2
2473,5
2477,2
2503,3
2521,17
2531,2
2539,2
2543,5
2549,2
2551,6
2557,2
2579,2
2591,7
2593,7
2609,3
2617,5
2621,2
2633,3
2647,3
2657,3
2659,2
2663,5
2671,7
2677,2
2683,2
2687,5
2689,19
2693,2
2699,2
2707,2
2711,7
2713,5
2719,3
2729,3
2731,3
2741,2
2749,6
2753,3
2767,3
2777,3
2789,2
2791,6
2797,2
2801,3
2803,2
2819,2
2833,5
2837,2
2843,2
2851,2
2857,11
2861,2
2879,7
2887,5
2897,3
2903,5
2909,2
2917,5
2927,5
2939,2
2953,13
2957,2
2963,2
2969,3
2971,10
2999,17
3001,14
3011,2
3019,2
3023,5
3037,2
3041,3
3049,11
3061,6
3067,2
3079,6
3083,2
3089,3
3109,6
3119,7
3121,7
3137,3
3163,3
3167,5
3169,7
3181,7
3187,2
3191,11
3203,2
3209,3
3217,5
3221,10
3229,6
3251,6
3253,2
3257,3
3259,3
3271,3
3299,2
3301,6
3307,2
3313,10
3319,6
3323,2
3329,3
3331,3
3343,5
3347,2
3359,11
3361,22
3371,2
3373,5
3389,3
3391,3
3407,5
3413,2
3433,5
3449,3
3457,7
3461,2
3463,3
3467,2
3469,2
3491,2
3499,2
3511,7
3517,2
3527,5
3529,17
3533,2
3539,2
3541,7
3547,2
3557,2
3559,3
3571,2
3581,2
3583,3
3593,3
3607,5
3613,2
3617,3
3623,5
3631,15
3637,2
3643,2
3659,2
3671,13
3673,5
3677,2
3691,2
3697,5
3701,2
3709,2
3719,7
3727,3
3733,2
3739,7
3761,3
3767,5
3769,7
3779,2
3793,5
3797,2
3803,2
3821,3
3823,3
3833,3
3847,5
3851,2
3853,2
3863,5
3877,2
3881,13
3889,11
3907,2
3911,13
3917,2
3919,3
3923,2
3929,3
3931,2
3943,3
3947,2
3967,6
3989,2
4001,3
4003,2
4007,5
4013,2
4019,2
4021,2
4027,3
4049,3
4051,10
4057,5
4073,3
4079,11
4091,2
4093,2
4099,2
4111,12
4127,5
4129,13
4133,2
4139,2
4153,5
4157,2
4159,3
4177,5
4201,11
4211,6
4217,3
4219,2
4229,2
4231,3
4241,3
4243,2
4253,2
4259,2
4261,2
4271,7
4273,5
4283,2
4289,3
4297,5
4327,3
4337,3
4339,10
4349,2
4357,2
4363,2
4373,2
4391,14
4397,2
4409,3
4421,3
4423,3
4441,21
4447,3
4451,2
4457,3
4463,5
4481,3
4483,2
4493,2
4507,2
4513,7
4517,2
4519,3
4523,5
4547,2
4549,6
4561,11
4567,3
4583,5
4591,11
4597,5
4603,2
4621,2
4637,2
4639,3
4643,5
4649,3
4651,3
4657,15
4663,3
4673,3
4679,11
4691,2
4703,5
4721,6
4723,2
4729,17
4733,5
4751,19
4759,3
4783,6
4787,2
4789,2
4793,3
4799,7
4801,7
4813,2
4817,3
4831,3
4861,11
4871,11
4877,2
4889,3
4903,3
4909,6
4919,13
4931,6
4933,2
4937,3
4943,7
4951,6
4957,2
4967,5
4969,11
4973,2
4987,2
4993,5
4999,3
